support	itemsets
0.9	frozenset({'Success'})
0.1275	frozenset({'ICL'})
0.121	frozenset({'NeuTraL'})
0.117	frozenset({'Success', 'ICL'})
0.111	frozenset({'GOAD'})
0.109	frozenset({'Success', 'NeuTraL'})
0.1015	frozenset({'DevNet'})
0.0995	frozenset({'PReNet'})
0.099	frozenset({'Success', 'GOAD'})
0.0985	frozenset({'Success', 'DevNet'})
0.097	frozenset({'RoSAS'})
0.097	frozenset({'SLAD'})
0.0955	frozenset({'Success', 'PReNet'})
0.0935	frozenset({'Success', 'SLAD'})
0.0925	frozenset({'Success', 'RoSAS'})
0.088	frozenset({'DeepSAD'})
0.0855	frozenset({'DeepSAD', 'Success'})
0.0785	frozenset({'DeepSVDD'})
0.0775	frozenset({'RePEN'})
0.0775	frozenset({'RCA'})
0.0745	frozenset({'RePEN', 'Success'})
0.074	frozenset({'Success', 'RCA'})
0.0705	frozenset({'Success', 'DeepSVDD'})
0.055	frozenset({'RePEN', 'RCA'})
0.0535	frozenset({'RePEN', 'RCA', 'Success'})
0.0475	frozenset({'PReNet', 'DevNet'})
0.0455	frozenset({'Success', 'PReNet', 'DevNet'})
0.042	frozenset({'DeepSAD', 'RCA'})
0.0405	frozenset({'DeepSAD', 'RCA', 'Success'})
0.039	frozenset({'DeepSAD', 'RePEN'})
0.038	frozenset({'DeepSAD', 'RePEN', 'Success'})
0.031	frozenset({'DeepSAD', 'RePEN', 'RCA'})
0.03	frozenset({'DeepSAD', 'RePEN', 'RCA', 'Success'})
0.03	frozenset({'DeepSAD', 'DevNet'})
0.03	frozenset({'DeepSAD', 'Success', 'DevNet'})
0.0295	frozenset({'ICL', 'DevNet'})
0.029	frozenset({'Success', 'ICL', 'DevNet'})
0.027	frozenset({'RePEN', 'DevNet'})
0.0265	frozenset({'Success', 'DeepSVDD', 'RCA'})
0.0265	frozenset({'RePEN', 'Success', 'DevNet'})
0.0265	frozenset({'DeepSVDD', 'RCA'})
0.0255	frozenset({'ICL', 'NeuTraL'})
0.025	frozenset({'DeepSVDD', 'SLAD'})
0.0245	frozenset({'GOAD', 'SLAD'})
0.024	frozenset({'GOAD', 'ICL'})
0.024	frozenset({'Success', 'DeepSVDD', 'SLAD'})
0.0235	frozenset({'Success', 'ICL', 'NeuTraL'})
0.023	frozenset({'RePEN', 'DeepSVDD', 'Success'})
0.023	frozenset({'RePEN', 'DeepSVDD', 'RCA', 'Success'})
0.023	frozenset({'RePEN', 'DeepSVDD'})
0.023	frozenset({'RePEN', 'DeepSVDD', 'RCA'})
0.0225	frozenset({'GOAD', 'NeuTraL'})
0.0225	frozenset({'Success', 'GOAD', 'SLAD'})
0.022	frozenset({'PReNet', 'ICL'})
0.022	frozenset({'RCA', 'DevNet'})
0.0215	frozenset({'RoSAS', 'DevNet'})
0.0215	frozenset({'Success', 'PReNet', 'ICL'})
0.0215	frozenset({'Success', 'RoSAS', 'DevNet'})
0.0215	frozenset({'Success', 'RCA', 'DevNet'})
0.0205	frozenset({'DeepSAD', 'ICL'})
0.02	frozenset({'Success', 'GOAD', 'ICL'})
0.02	frozenset({'DeepSAD', 'Success', 'ICL'})
0.0195	frozenset({'DeepSAD', 'DeepSVDD', 'RCA'})
0.0195	frozenset({'DeepSAD', 'DeepSVDD'})
0.0195	frozenset({'DeepSAD', 'DeepSVDD', 'Success'})
0.0195	frozenset({'Success', 'GOAD', 'NeuTraL'})
0.0195	frozenset({'DeepSAD', 'DeepSVDD', 'RCA', 'Success'})
0.019	frozenset({'PReNet', 'RCA'})
0.019	frozenset({'RoSAS', 'NeuTraL'})
